Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg)
14.07.2014 04:30:00,983.33,15.53,290.08,14.52,93.7,17.67,16.56,1.11,10.54,16.84,1179.02,1.29,2.36,157.5
14.07.2014 04:40:00,983.37,15.53,290.08,14.57,94,17.67,16.61,1.06,10.57,16.89,1179.05,1.18,2.16,159.5
14.07.2014 04:50:00,983.45,15.51,290.05,14.55,94,17.65,16.59,1.06,10.56,16.87,1179.24,0.86,1.48,181.6
14.07.2014 05:00:00,983.46,15.48,290.02,14.55,94.2,17.61,16.59,1.02,10.56,16.87,1179.37,1.4,2.04,191.1
14.07.2014 05:10:00,983.44,15.47,290.01,14.54,94.2,17.6,16.58,1.02,10.55,16.86,1179.39,1.9,2.72,198.2
14.07.2014 05:20:00,983.52,15.52,290.06,14.59,94.2,17.66,16.63,1.02,10.59,16.91,1179.26,1.53,2.3,192.9
14.07.2014 05:30:00,983.6,15.65,290.18,14.57,93.3,17.81,16.61,1.19,10.57,16.89,1178.83,1.65,2.12,195.6
14.07.2014 05:40:00,983.68,15.73,290.25,14.54,92.6,17.9,16.57,1.32,10.55,16.85,1178.62,1.36,1.8,211.4
14.07.2014 05:50:00,983.77,15.83,290.35,14.63,92.6,18.01,16.68,1.33,10.61,16.96,1178.28,1.73,2.44,220.8
14.07.2014 06:00:00,983.9,16.47,290.98,14.83,90,18.76,16.89,1.88,10.75,17.16,1175.73,2.15,3.36,200.7